name,description,vertical,subvertical,url
Common Summer Weeds,"Dallisgrass, Crabgrass, Dandelion, White Clover",Home Services,Gardening Landscaping,
Adhesive,Used to bond tile to a surface.,Home Services,"Contractors, Tile Installation",
Field tile,The primary tile used to cover a wall or floor.,Home Services,"Contractors, Tile Installation",
Spacers,Plastic pieces that are used in installation to evenly space tiles. ,Home Services,"Contractors, Tile Installation",
Gauge,"The term used to describe the diameter of the electrical wire – the larger the number, the thinner the wire. Not to be confused with electric meters.",Home Services,Electrician,
Service Box,Main electrical panel that holds all the fuses and the more modern circuit breakers. The service box distributes electricity evenly through the house.,Home Services,Electrician,
Hardscape Elements,"Walkways, Driveways, Patios, Swimming pools, Sprinkler systems, Fountains, Stone benches, Gates, Flagstone and other rocks, Arbors",Home Services,Gardening Landscaping,
Softscape Elements,"Grass, Trees, Shrubs, Flowers, Soil, Vegetable gardens",Home Services,Gardening Landscaping,
June bugs,"The term ""June bug"" can refer to a number of different species of beetles. The name is derived from the fact that they typically emerge towards the beginning of summer. They are harmless to people and animals but because they are attracted to light, they can be a big nuisance at night. Many pest control companies offer services related to June bug control. ",Home Services,Pest Control,
Sump pump,"A sump pump moves water from the areas surrounding a house's foundation. The main purpose of a sump pump is to pump and send water away from the house, to a place where it can cause less problems — usually a city storm drain. Properly working sump pumps are integral for homes in areas that get a lot of rain or are near sources of water. ",Home Services,Plumbing,
Native plants ,Native plants are plants that occur naturally in a given region. They are popular in landscaping because they can more easily tolerate the area in which they are planted. They thrive in the conditions that they're used to.  ,Home Services,Gardening Landscaping,
LED lightbulbs,LED light bulbs typically use anywhere from 25-80% less electricity and have a much longer lifespan than non-LED bulbs. Their energy consciousness and longevity continue to make them popular choices for homes and businesses. ,Home Services,Electrician,
Down payment,The amount of money a buyer pays at closing toward a home purchase.,Professional Services,,
Earnest money deposit,"A partial payment by a buyer when submitting a contract that demonstrates the buyer’s commitment to the deal. The money, which is held in an escrow account, goes toward closing costs.",Professional Services,,
Adjustable-rate mortgage,"In an adjustable-rate mortgage, the interest rate can change over the course of the loan at five, seven, or ten-year intervals. For homeowners who plan to stay in their homes for more than a few years, this is a risky loan as rates can suddenly skyrocket depending on market conditions.",Professional Services,,
Fixed-rate mortgage,"There are two types of conventional loans: the fixed-rate and the adjustable-rate mortgage. In a fixed-rate mortgage, the interest rate stays the same throughout the life of the loan.",Professional Services,,
For Sale By Owner (FSBO),The owner of the property is selling without a real estate agent.,Professional Services,,
Inspection,"Home inspections are required once a potential buyer makes an offer. Typically, they cost a few hundred dollars. The purpose is to check that the house’s plumbing, foundation, appliances, and other features are up to code. Issues that may turn up during an inspection may factor into the negotiation on a final price. Failing to do an inspection may result in surprise costly repairs down the road for the home buyer.",Professional Services,,
Listing,A listing is essentially a home that is for sale. The term gets its name from the fact that these homes are often “listed” on a website or in a publication.,Professional Services,,
Listing agent,"This is the agent who represents the seller in the home-buying process. On the other side is the buyer’s agent, who represents the buyer.",Professional Services,,
Contingency,"A contingency in a real estate deal means there's something the buyer has to do for the process to go forward, like getting approved for a loan or selling their home. If the contingency terms are not met, the contract can be broken with no penalty or loss of earnest money to the buyer or seller.",Professional Services,,
Underwriting,Underwriting is the part of the mortgage loan application process where the bank is scrutinizes all of the buyers credit and financial documents to determine their loan eligibility.,Professional Services,,
