name,description,vertical,subvertical,url
HomeReno,"Perfect for before/after posts, or tips for home renovation",General,,
InteriorDesign,"Perfect for before/after posts, or tips for home renovation",General,,
HomeGoals,Can be used on posts about trends in the industry,General,,
DecorGoals,Can be used on posts about trends in the industry,General,,
HouseHunting,For posts that center on buying a home,General,,
FirstDayOfSummer,June 21 marks the official first day of summer.,General,,
luxurylistings,"It's likely that you have some customers who support buyers and sellers in the luxury market. If so, try using this hashtag! It'll help draw in an engaging audience of luxury buyers & real estate enthusiasts. Similar hashtags: #LuxuryRealEstate #LuxuryConso #LuxuryLifestyle",Professional Services,,
HomeInspo,"This hashtag can be used to highlight any beautiful, appealing home or well-designed room. ",Professional Services,,
NationalRoseMonth,Celebrate the month-long holiday by sharing the hashtag on posts!,Home Services,Gardening Landscaping,
HVACMaintenance,Get the AC fixed! It's hot outside. Use this hashtag on posts promoting HVAC customers who can repair air conditioning systems when they fail in the summer.,Home Services,HVAC,
MovingDay,"Historically, June-August is peak season for moving. You can provide tips and tricks for people looking to move, even during the hectic moving season. If working with movers, here are some helpful tips: schedule at least two weeks in advance; morning time slots fill up faster; there is less demand for movers on weekdays and after Labor Day.",Home Services,Moving,
