caption,passport_link,comment,vertical,subvertical,category,media,author
"Specializing in retirement, Roy can help with finding a home around Bothell that feels like the right fit. 
 
  #roygursli #roygurslirealestatebroker #realestatebroker #realestateservices #snohomish #snohomishcountyrealestate #kingcountywa",https://passport.mainstreethub.com/location/67631/content/ed4f2c87-93e6-48bb-ae6a-68bc07366034,Addressing a specific audience this agent serves and tying in the location.,Professional Services,Real Estate,Product/Service,https://media.mainstreethub.com/media/0a36ef57-1a37-41fe-bdd4-199e40dda120,Valerie Lancaster
"When you've got more than a handful to take care of with your home, you need a cash offer with no closing costs. Call or text us at (786)753-8500, or go to our website for more information!",https://passport.mainstreethub.com/location/72804/content/6e513bcc-090f-4740-bca0-414b2709d34e,Describing this niche real estate service in a unique way with a clear call to action.,Professional Services,Real Estate,Product/Service,https://media.mainstreethub.com/media/50feb452-a877-498d-b68b-164b8f25dc52,Valerie Lancaster
"As we transition from winter to spring, which colors will you be trying out the next time you stop in for a manicure or pedicure?",https://passport.mainstreethub.com/location/80307/content/a3cb7d00-cbab-4359-ab69-1d8efc0342f0,"A straightforward engagement question, but the seasonal connection gives it a subtle call to action (book an appointment for your spring look).",Spa and Salon,,Audience Participation,https://media.mainstreethub.com/media/bd3bb117-31aa-4cfe-94a3-863b813847a1,Stephanie Torre
"Here at Koy Chinese & Sushi Restaurant, we offer 40 different kinds of sushi rolls! Which one will you be trying next?",https://passport.mainstreethub.com/location/53641/content/fc25732c-70e2-4c2b-bd33-d23af2f00784,Great to use specific info about the restaurant as a hook for this engagement question. This kind of post would also work well with a photo of the customer's food!,Restaurant,,Audience Participation,https://media.mainstreethub.com/media/25a19411-4fa6-4666-a45f-aaff6676c163,Stephanie Torre
No need to rely on a friend to feed your fish while you're out of town! We'll make sure your scaly family member is well taken care of.,https://passport.mainstreethub.com/location/79352/content/95917bc8-4aac-44ee-bce1-9f0b8d2535b6,A unique concept since we don't usually think of pet sitters watching fish. The phrasing is also clear and on-brand for this specific service.,Pets,,Product/Service,https://media.mainstreethub.com/media/af6a3fbf-d728-4078-8a9a-8a05c4d2d3ab,Zoe Labos
"Gallery walls are an easy and fun way to add a unique visual interest to your home. We can help you pair frames of different shapes, sizes, and colors to bring your art to life.",https://passport.mainstreethub.com/location/60140/content/350c0dfb-8960-4cb2-b5cf-a3aa370d7248,This decorating tip is framed in a unique way that also serves to promote the customer's product.,Retail,,Educational,https://media.mainstreethub.com/media/858493a0-7254-4eca-a22c-f3fee1d50054,Zoe Labos
"Shower curtains are prone to mold and need to be replaced frequently. Installing glass panels and doors is a great way to give your bathroom a spacious, sleek look. Give us a call to update your space: (404) 625-4231!",https://passport.mainstreethub.com/location/50908/content/1b4393e9-45d4-40ed-99c4-8fd497418ea7,Describing one clear and specific benefit of this home remodeling customer's offerings.,Home Services,Construction,Educational,https://media.mainstreethub.com/media/1d407148-873f-457c-81e7-762c149372b1,Zoe Labos
"Want to be a part of our ""Customer Since When"" wall? Join us for your birthday celebration, and we'll snap a pic. Plus, enjoy a free birthday shirt!",https://passport.mainstreethub.com/location/34632/content/bfea5bc5-5067-4db0-8193-a7f1f822339d,"This content request highlighting a very unique aspect of the restaurant could inspire similar posts based on pictures, notes, or website info for other restaurants. ",Restaurant,,About the Business,https://media.mainstreethub.com/media/2bca8cb7-728b-4bde-ad2e-5cd76e9d5476,Micah Scott
"A long day calls for a delicious meal. Our meatloaf special includes mashed potatoes and gravy, veggies, and soup or salad for only $12.25. See you soon! #mchenry #mchenrycountyliving #meatloaf #mondayspecial #lunch #dinner",https://passport.mainstreethub.com/location/49912/content/fc3950ee-f743-419d-a1ed-2211fa24898b,This content request for a restaurant describes a meal deal that you might find in a customer's notes or on their menu. Highlighting a unique aspect of the restaurant and specific dishes they serve.,Restaurant,,Event/Special/Listing,https://media.mainstreethub.com/media/0c36cc24-1dcf-48f7-9ff2-edb271f99df4,Alyssa Bowholtz
"When you're here, you're in good hands. We've updated our ordering system by providing a QR code on every table. Simply snag a seat, scan the code, place your order, and enjoy!",https://passport.mainstreethub.com/location/70462/content/0b00b2b6-037b-4abb-ba0b-0c4ea4372b65,"Keep an eye out for content request posts on your content calendar, reviews, or notes that indicate a customer is offering something like this. It's a great, unique aspect of the restaurant that can be mentioned throughout ongoing content!",Restaurant,,About the Business,https://media.mainstreethub.com/media/b26ba4c7-eafb-4892-bc67-18f57ab885ac,Alyssa Bowholtz
People have been raving about our hand-made tamales for over a decade. Want to taste the tradition? Call us! Danville (925) 820-0181 & Pancheco (925) 689-4430,https://passport.mainstreethub.com/location/66726/content/7067e209-efa9-483e-bfa9-171cda7c72b9,Describing the customer's food in a specific way and following instructions from the notes for how to place an order.,Restaurant,,Product/Service,https://media.mainstreethub.com/media/70b91283-8387-441c-a242-c8302cf56a18,Isa Jones
"As the only climate-controlled range in the city limits, our clean and modern facility is the most comfortable, and, more importantly, the most fun place for target practice in town.",https://passport.mainstreethub.com/location/45909/content/9680547f-ce86-4201-93fa-4e864d3caa95,Really getting into the unique aspects of this particular firing range -- awesome!,Retail,,About the Business,https://media.mainstreethub.com/media/77752a27-c743-4e4c-bfe4-52b6ba5207f6,Isa Jones
"Whether you're grabbing a meal to-go from our drive-thru or we're catering a special event for you and all your friends, rest assured we'll always take great care of you, San Antonio.",https://passport.mainstreethub.com/location/29431/content/0caa4b24-df4c-43a9-85d1-d0813ed0faf6,"Speaking to two specific ways people can get food from this restaurant, one of which is easy for folks looking to avoid face-to-face contact.",Restaurant,,About the Business,https://media.mainstreethub.com/media/9b4f7c8b-eb17-4bb6-8c51-5d7830816410,Isa Jones
"You know our website has a large selection of mattresses, but our brick and mortar shop does too! Customers that come into our warehouse can choose between additional name-brand mattresses, which sometimes sell for 40 to 70 percent below retail value.",https://passport.mainstreethub.com/location/55649/content/4937658c-730e-4589-a5fd-7f65c62ba358,"Providing useful, unique info about the business that may prompt people to visit and make a purchase.",Retail,,Product/Service,https://media.mainstreethub.com/media/768bb907-3152-4d16-937d-730fe35596b1,Esther Seawell
"During the second stage of our process, we'll assess your home site, determine the best placement for each part of your home, and help you uncover any potential costs down the road. #tsfdevelopmentcustomhomes #customhomes #newconstruction #newhomeconstruction #georgetown #texas #georgetowntx #georgetowntexas",https://passport.mainstreethub.com/location/55693/content/a9dafb52-1810-4c31-8f3c-a6e943e9f80d,Getting specific about this construction business's approach with a strong sense of customer voice. This could be part of a series highlighting the steps of a customer's process!,Home Services,Construction,About the Business,https://media.mainstreethub.com/media/730aaf65-3bed-4eec-90bd-b88a8896dc5f,Esther Seawell
"As an American Moving & Storage Association (AMSA) Certified ProMover, we're nationally recognized as an ethical, professional business and recognized for our high conduct standards within the industry. #newgenerationmovingandstorage #movingandstorage #bridgewater",https://passport.mainstreethub.com/location/67212/content/95ebcea6-9f9a-4d81-aabc-0060cbaf5c2f,Highlighting a unique certification that's specific to this industry!,Home Services,Moving,About the Business,https://media.mainstreethub.com/media/152ea18a-37d1-4e8d-aa25-8d54d4f26127,Esther Seawell
"With infertility specialists on staff and one of the largest infertility inventories in the area, Kraupner Pharmacy can help individuals and couples who are having difficulty getting pregnant.",https://passport.mainstreethub.com/location/34171/content/de24c828-64e4-475e-8899-d1f1d067d1de,"Describing in a sensitive topic in a professional, helpful way to target a specific audience needing this business's services.",Health and Wellness,,About the Business,https://media.mainstreethub.com/media/00c0f521-c3c7-4c77-9d5a-f4e40401831e,Esther Seawell
"If your child is experiencing unusual sensitivity or discomfort, don't brush it off! Instead, give us a call at (818) 566-8715, and let's get to the root of the issue. #starkids",https://passport.mainstreethub.com/location/7667/content/ba13cb7d-f34a-4343-a5a0-ad9dd5488a40,Compassionate customer voice and a clear patient need being addressed.,Health and Wellness,,Product/Service,https://media.mainstreethub.com/media/ac78fedf-9865-4ea0-8d61-a1d227762944,Nicole Lechner
"Have you tried our Java Vienna Roast? It has a chocolatey aroma that accents its smoky flavor, while fruity notes peak through on the finish. Plus, it's made with organic, fair-trade coffee by Idyllwild Coffee Roasters, of course!",https://passport.mainstreethub.com/location/62229/content/1d3f9a66-c069-44e2-be02-9dacd2b0d48a,Describing a very specific product this cafe sells. You can often find this kind of language and info on the customer's website!,Retail,,Product/Service,https://media.mainstreethub.com/media/fe494cb5-44bc-41a3-8552-2e1b76a6e01c,Nicole Lechner
"For over 20 years, Winterwood Timber Frames has been the name to trust in the East Montpelier area for timber framing. Give us a call at (802) 229-7770 for whatever you may need.",https://passport.mainstreethub.com/location/73071/content/668bf221-e656-49a6-b440-c7a912dad6d7,Highlighting multiple specific aspects of the business and connecting to the unique service they offer.,Home Services,Carpentry,About the Business,https://media.mainstreethub.com/media/13cfe92d-3b9f-4734-9115-ac403757c473,Emily Carpenter
"Bid farewell to your peach fuzz! Dermaplaning can help diminish the appearance of fine lines and wrinkles, increase absorption of topical products, prime skin for chemical peel, and create a healthier, more radiant appearance. Book an appointment today at (843) 450-4429!",https://passport.mainstreethub.com/location/78793/content/43b20080-1788-41bb-b765-97d20acef5ec,This kind of content request makes a great jumping-off point for additional ongoing posts about the customer's specific services.,Health and Wellness,,Product/Service,https://media.mainstreethub.com/media/49b1da27-634e-41ab-a67d-840d55be10e4,Sharon Koernig
"Fun Fact Friday: Red clover, an ingredient used in my Wellness Tea, promotes detoxification of the body's lymphatic system while supporting immunity and benefiting the healing of skin conditions. Read more about about this ingredient and more on the latest blog: https://sevenstreamsapothecary.com/blog/f/wellness-tea.",https://passport.mainstreethub.com/location/76210/content/f7eb870a-61bb-4b6c-a3fc-40f134fc650a,Leveraging content from the customer's blog for a totally on-brand post.,Health and Wellness,,Educational,https://media.mainstreethub.com/media/e64e781f-ff56-46c3-a192-8a2cc72d28c8,Lacey Morris
"Choosing an artist is the first and most important step you'll take when getting your new tattoo. If you're looking for an artist who can do handle bold colors, large-scale designs, and intricate details, give us a call to see if we're the right fit for you: (603) 833-3458. #nhcustomtattoo #hooksettnh #tattoo #tatoos #tattooing #customtatoo #piercings",https://passport.mainstreethub.com/location/54467/content/bc90fff8-870e-46d3-9caf-c1c1c0dda829,Awesome customer voice when highlighting this business's tattoo offerrings.,Retail,,Product/Service,https://media.mainstreethub.com/media/eafd5372-5c60-4211-8997-e05a492a305c,Lacey Morris
"A skincare tip from the pros: Use the correct cleanser for your skin type! Whether your skin is oily and acne-prone, dry, or has brown spots or melasma, our team can help you decide which products are best for your specific skin type. Visit https://theskinclinics.com to book your free consultation! Or reach out directly to us: (901) 345-7546.",https://passport.mainstreethub.com/location/78939/content/e5acf294-89ad-4066-b307-00a60c0fccbb,"Showing a depth of industry expertise with this tip, plus a great and customer-specific CTA!",Health and Wellness,,Product/Service,https://media.mainstreethub.com/media/bf1e2627-c92c-469d-89e7-6ff0fd108793,Lacey Morris
"If you're trying to grow out your hair, it's important to schedule regular trimmings. By getting rid of damaged split ends, you leave room for healthy, strong locks to grow in. #hair #kindalshairstudio",https://passport.mainstreethub.com/location/76068/content/0cb80b5b-0d10-4590-93b6-4057c80ac798,Providing helpful customer expertise paired with a clear CTA.,Spa and Salon,,Educational,https://media.mainstreethub.com/media/6ce026e4-d23c-42fb-884e-921fd4795aad,Emily Burke
Don't worry about waking up hungry -- we've got you covered with our Breakfast BLT. Give it a try during your next visit!,https://passport.mainstreethub.com/location/56476/content/d54ed5e6-6334-47e5-92ad-9fa366d0f445,"A straightforward but effective way to highlight a very specific dish this restaurant serves and connect with a time when people might want to eat it. This is a content request, but it's the type of specific product highlight you can create based on any restaurant's menu!",Restaurant,,Product/Service,https://media.mainstreethub.com/media/ba85041d-2967-4c56-b865-03c430cf6636,Daniel Berkowitz
"Imagine: You're sitting outside, the sun hitting your face as spring starts to poke its head out, and you hear the lovely sing-song of the blue jays. Come visit us at Valaterra to get a piece of this bliss. Book with us online on our website.",https://passport.mainstreethub.com/location/80120/content/3c468675-51b6-4d3b-8ab6-ddf841a38725,Amazing descriptive details really put you in this specific location.  This content request could inspire lots of other posts describing a location for hotels and similar businesses.,Events and Activities,,About the Business,https://media.mainstreethub.com/media/e06dd3de-d7e0-4b6a-9e30-9fc111b5ec47,Hannah Shortsleeve
"As members of the National Frame Building Association, we're committed to providing the highest standard of quality from start to finish. Give us a call to get started: (859) 307-1039.",https://passport.mainstreethub.com/location/61998/content/673e6681-6c56-43f1-a15a-b3a6afdf109c,"Highlighting a specific industry certification this business has. This is a content request, but this kind of info is often available in notes and on customer websites!",Home Services,Construction,About the Business,https://media.mainstreethub.com/media/f22f6486-1cdf-4e02-a4cb-97aa53131cc7,Kyle Chipman
"A soulful, ageless aesthetic is gaining popularity in the world of residential interior design. This trend is marked by the intentional mixing and matching of textures, materials, and colors. Read more: http://bit.ly/3rkpiul.",https://passport.mainstreethub.com/location/67279/content/79b90a92-902f-4878-9b6b-3ebe578cabd3,"This content request is a great example of presenting design trend info in a customer-specific, engaging way.",Professional Services,Real Estate,Educational,https://media.mainstreethub.com/media/00d7eb40-dfc5-4db0-b975-bc5aee1f5afc,Mae Dolan
"We have several methods to improving your home's air quality, especially for those who have asthma or allergies! From UV lights, to humidifiers, to air purifiers, our team will be happy to help you find the right solution for your home!",https://passport.mainstreethub.com/location/63789/content/2ef15171-dd1e-4329-8b3f-ccf1912ba005,"Highlighting this customer's range of services for air purification -- totally unique to this business, and addressing a fairly specific audience. This kind of content request can inspire a series of ongoing posts!",Home Services,HVAC,Product/Service,https://media.mainstreethub.com/media/f74bfb2e-95db-42c2-a75d-8d048c1000d8,Clara Pratt
"If you need a little shade in your life, give us a ring at (661) 241-8480 to learn about our custom patio covers. #innovation #construction #oasis",https://passport.mainstreethub.com/location/68405/content/b5d5afbd-51d8-49aa-9c37-241fbea8d0cb,Straightforward but effective way to highlight this customer's specific offering and the benefit it provides. The visual has a nice local connection that makes the post even better!,Home Services,Construction,Product/Service,https://media.mainstreethub.com/media/080b891a-0252-4b03-9c66-daa0c7723404,Brandon Kenning
