name,description,vertical,subvertical,url
Best Dressed,"Loungewear may still reign supreme, but people are planning for future events. Weddings, vacations, casual get-togethers are top-of-mind for many. How can your customer help those planning for their first events post-quarantine? Think eretail or businesses in the wedding industry.",General,,
Everyday Wellness,"A shift to natural, shorter movement being incorporated throughout the day rather than spending hours in the gym is on the rise. Activities like biking, cleaning, and gardening set a new exercise model for many. Look to promote movement as accessible activities that can be attainably woven through the week.",General,,
Anyone Can Cook,"Limited dining options and quarantine in 2020 taught many folks how to take the fate of weeknight dinners into their own hands. In 2021, we're seeing the result of millions of home chefs flexing their skills and wanting to push their kitchen-prowess further. From new cookbooks to viral Tik Tok recipes, we'll see the cooking community come together more and more this year. How can you engage with at-home chefs or those looking to expand their palate. ",General,,
Meal Prep Comeback,"During quarantine, many loosened up their strict meal prep routines. However, we're seeing more and more folks ease back into meal prep. At the core of meal prep is the sentiment of being prepped and prepared for the week. How can your customers help consumers achieve this?",General,,
Travel Planning,"70% of consumers are planning vacations this year. That means a larger audience for our consumers to connect with. Weekend trips or staycations are trending this year likely in more rural or secluded destinations. Now's the time to showcase the value our travel customers have to offer. Why choose their services? Why choose to stay with them rather than a brand they've stayed with before? Look to specific services or details about your travel customers that help them stand out. Also don't be afraid to think outside the box when it comes to travel planning (think boarding pets, vehicle storage, packing tips, or guides to local areas).",General,,
Hosting From Home,"While virtual meetups aren't going anywhere, folks are looking forward to hosting close family and friends in the somewhat near future. Think spruced up social spaces, fresh furniture ideas, and tips to get all that clutter under control. People are planning—and purchasing—for their post-quarantine lives. Consider how your customers can help. Think furniture DIY and inspo, potential first meals they'll serve, and outdoor living spaces.",General,,
Values Matter Most,The pandemic has put everyone in touch with what matters. People are more grounded in their values than ever—and they want the world to see it. Does your customer mention any particular values in their welcome call or in their brand kit? Are they passionate about the planet and making eco-conscious decisions? Do they work with the local community in any way to give back? ,General,,
Morning Rituals,"The time spent at home in the past year has allowed folks to fine-tune their morning routines. With many gaining minutes to hours back in their day from the time not spent commuting, there's been a shift in focus on how to spend the first hours of the day. Breakfast is making a big comeback for many. Morning workouts, mediations, and yoga flows allow folks to start their day with less stress and more focus. Specialty coffee drinks made from an at-home coffee bar have found their place too. Do your health and wellness customers offer online meditations or yoga flows to tune into? Or maybe coffee shops offer a barista class or want to hear about the kinds of drinks folks have been trying to master at home. Think about how your customers can make morning routines that much more enjoyable for consumers.",General,,
End of the School Year,"The end of the school year symbolically kicks off the summer season for many families in the US. Timing varies across country. Prep for summer vacations, summer camps, swimming lessons, and outdoor activities kicks off early-mid may. Businesses tend to lean into start of summer specials and promotions to capitalize on the need for new summer clothing, activities, and travel.",General,,
Gardeners Rejoice,"This horticultural hobby shows no signs of slowing down this year. . Things like herb gardens, home-grown produce, and perfecting lawn care will all be top of mind. Do your customers offer any gardening services, weed/pest control services, or tips for yard maintenance? Maybe they can offer ways to use home-grown veggies in healthy recipes or guidance around the stress relieving properties of gardening.",General,,
